Accession	atp6	nad1	nad2	nad3	nad4	nad4L	nad5	nad6	cox1	cox2	cox3	cob	TaxID	Organism	Description	Length	Phylum	Class	Order	Family	Genus
NC_033907.1	YP_009348226.1	YP_009348225.1	YP_009348230.1	YP_009348231.1	YP_009348232.1	YP_009348222.1	YP_009348223.1	YP_009348227.1	YP_009348219.1	YP_009348233.1	YP_009348228.1	YP_009348224.1	655981	Pseudogymnoascus destructans	Pseudogymnoascus destructans strain 20631-21 mitochondrion, complete genome	32181	Ascomycota	Leotiomycetes	Pseudeurotiaceae	Pseudogymnoascus	
NC_029759.1	YP_009240967.1	YP_009240970.1	YP_009240978.1	YP_009240977.1	YP_009240969.1	YP_009240975.1	YP_009240974.1	YP_009240966.1	YP_009240972.1	YP_009240976.1	YP_009240965.1	YP_009240973.1	1802957	Cairneyella variabilis	Cairneyella variabilis isolate VPRI 42388 mitochondrion, complete genome	27186	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cairneyella
NC_027422.1	YP_009154292.1	YP_009154291.1	YP_009154281.1	YP_009154282.1	YP_009154283.1	YP_009154288.1	YP_009154289.1	YP_009154293.1	YP_009154285.1	YP_009154284.1	YP_009154294.1	YP_009154290.1	79858	Pseudogymnoascus pannorum	Pseudogymnoascus pannorum strain NN050741 mitochondrion, complete genome	26918	Ascomycota	Leotiomycetes	Pseudeurotiaceae	Pseudogymnoascus	
NC_051483.1	YP_009945075	YP_009945071	YP_009945082	YP_009945085	YP_009945051	YP_009945096	YP_009945102	YP_009945116	YP_009945042	YP_009945086	YP_009945122	YP_009945053	61186	Monilinia laxa	Monilinia laxa mitochondrion, complete genome	178357	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Monilinia
NC_048507.1	YP_009827978	YP_009827977	YP_009827968	YP_009827969	YP_009827970	YP_009827975	YP_009827976	YP_009827979	YP_009827973	YP_009827971	YP_009827980	YP_009827972	1955577	Antarctomyces pellizariae	Antarctomyces pellizariae strain UFMGCB 12416 mitochondrion, complete genome	30121	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Antarctomyces
NC_044132.1	YP_009681558.1	YP_009681549.1	YP_009681556.1	YP_009681555.1	YP_009681543.1	YP_009681535.1	YP_009681532.1	YP_009681531.1	YP_009681550.1	YP_009681548.1	YP_009681546.1	YP_009681541.1	1873960	Pseudocercospora fijiensis	Pseudocercospora fijiensis isolate 081012 mitochondrion, complete genome	74089	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Pseudocercospora
MH374028.1	AYO45644.1	AYO45638.1	AYO45626.1	AYO45627.1	AYO45630.1	AYO45632.1	AYO45633.1	AYO45629.1	AYO45637.1	AYO45622.1	AYO45640.1	AYO45620.1	1047171	Zymoseptoria tritici	Zymoseptoria tritici isolate IPO323 mitochondrion, complete genome	43947	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zymoseptoria
NC_030334.1	YP_009257394.1	YP_009257386.1	YP_009257390.1	YP_009257389.1	YP_009257392.1	YP_009257387.1	YP_009257388.1	YP_009257396.1	YP_009257397.1	YP_009257384.1	YP_009257393.1	YP_009257391.1	395010	Zasmidium cellare	Zasmidium cellare mitochondrion, complete genome23743	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Zasmidium	
NC_036417.1	YP_009445538.1	YP_009445499.1	YP_009445516.1	YP_009445514.1	YP_009445551.1	YP_009445552.1	YP_009445553.1	YP_009445536.1	YP_009445521.1	YP_009445518.1	YP_009445504.1	YP_009445542.1	74410	Bipolaris cookei	Bipolaris cookei strain LSLP18 mitochondrion, complete genome	135790	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris
NC_036039.1	YP_009433967.1	YP_009433976.1	YP_009433968.1	YP_009433969.1	YP_009433982.1	YP_009433979.1	YP_009433978.1	YP_009434002.1	YP_009433995.1	YP_009433992.1	YP_009433970.1	YP_009433983.1	183478	Stemphylium lycopersici	Stemphylium lycopersici strain CIDEFI-216 mitochondrion, complete genome	75911	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Stemphylium
NC_040008.1	YP_009543489.1	YP_009543512.1	YP_009543516.1	YP_009543515.1	YP_009543514.1	YP_009543507.1	YP_009543503.1	YP_009543521.1	YP_009543491.1	YP_009543498.1	YP_009543517.1	YP_009543510.1	1077358	Coniothyrium glycines	Coniothyrium glycines isolate PG-21 mitochondrion, complete genome	98533	Ascomycota	Dothideomycetes	Pleosporales	Coniothyriaceae	Coniothyrium
NC_008248.1	YP_667828.1	YP_667825.1	YP_667823.1	YP_667824.1	YP_667826.1	YP_667833.1	YP_667834.1	YP_667830.1	YP_667836.1	YP_667832.1	YP_667829.1	YP_667835.1	27337	Verticillium dahliae	Verticillium dahliae mitochondrion, complete genome	27184	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium
NC_026614.1	YP_009126726.1	YP_009126719.1	YP_009126707.1	YP_009126708.1	YP_009126721.1	YP_009126709.1	YP_009126711.1	YP_009126705.1	YP_009126717.1	YP_009126729.1	YP_009126704.1	YP_009126714.1	367110	Neurospora crassa OR74A	Neurospora crassa OR74A mitochondrion, complete genome	64840	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Neurospora
NC_016687.1	YP_005088230.1	YP_005088226.1	YP_005088214.1	YP_005088216.1	YP_005088228.1	YP_005088219.1	YP_005088220.1	YP_005088232.1	YP_005088222.1	YP_005088218.1	YP_005088231.1	YP_005088221.1	117187	Fusarium verticillioides	Gibberella moniliformis mitochondrion, complete genome	53753	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
NC_001329.3	NP_074918.1	NP_074956.1	NP_074912.1	NP_074913.1	NP_074953.1	NP_074941.1	NP_074943.1	NP_074916.1	NP_074924.1	NP_074950.1	NP_074915.1	NP_074920.2	2587412	Podospora anserina	Podospora anserina mitochondrion, complete genome100314	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Podospora	
NC_026920.1	YP_009133201.1	YP_009133205.1	YP_009133199.1	YP_009133195.1	YP_009133206.1	YP_009133197.1	YP_009133198.1	YP_009133202.1	YP_009133193.1	YP_009133196.1	YP_009133203.1	YP_009133191.1	5059	Aspergillus flavus	Aspergillus flavus strain TCM2014 mitochondrion, complete genome	31602	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
NC_015080.1	YP_004221872.1	YP_004221869.1	YP_004221867.1	YP_004221863.1	YP_004221870.1	YP_004221865.1	YP_004221866.1	YP_004221873.1	YP_004221861.1	YP_004221864.1	YP_004221874.1	YP_004221868.1	36651	Penicillium digitatum	Penicillium digitatum mitochondrion, complete genome	28978	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
NC_012824.1	YP_002970789.1	YP_002970787.1	YP_002970784.1	YP_002970786.1	YP_002970788.1	YP_002970782.1	YP_002970783.1	YP_002970790.1	YP_002970779.1	YP_002970781.1	YP_002970774.1	YP_002970785.1	5551	Trichophyton rubrum	Trichophyton rubrum mitochondrion, complete genome	26985	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton
NC_005256.1	NP_943718.1	NP_943715.1	NP_943711.1	NP_943732.1	NP_943716.1	NP_943709.1	NP_943710.1	NP_943719.1	NP_943723.1	NP_943733.1	NP_943721.1	NP_943713.1	37727	Talaromyces marneffei	Talaromyces marneffei mitochondrion, complete genome	35438	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces
NC_045397.1	YP_009722324.1	YP_009722312.1	YP_009722361.1	YP_009722362.1	YP_009722366.1	YP_009722266.1	YP_009722267.1	YP_009722250.1	YP_009722382.1	YP_009722255.1	YP_009722252.1	YP_009722332.1	1174673	Morchella importuna	Morchella importuna mitochondrion, complete genome	272238	Ascomycota	Pezizomycetes	Pezizales	Morchellaceae	Morchella
